productId,name,price,fiber,color,weight,length,careInstructions,image,shortDescription,longDescription
1,Super Soft Merino,2200,"100% merino wool",Ballet Pink,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/balletPinkMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
2,Bayou Summer Yarn Bee Cozy Occasion,499,"100% polyester",Bayou Summer,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/bayouSummerCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
3,Black Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Black,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/blackUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
4,Super Soft Merino,2200,"100% merino wool",Bougainvillea Pink,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/bougainvilleaPinkMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
5,Calming Blue Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Calming Blue,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/calmingBlueUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
6,Charcoal Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Charcoal,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/charcoalUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
7,Chocolate Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Chocolate,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/chocolateUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
8,Cranberry Yarn Bee Cozy Occasion,499,"100% polyester",Cranberry,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/cranberryCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
9,Cranberry Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Cranberry,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/cranberryUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
10,Dark Grey Cozy Occasion,499,"100% polyester",Dark Grey,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/darkGreyCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
11,Down Pillow Cozy Occasion,499,"100% polyester",Down Pillow,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/downPillowCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
12,French Lilac Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",French Lilac,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/frenchLilacUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
13,Super Soft Merino,2200,"100% merino wool",Heirloom White,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/heirloomWhiteMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
14,Honeycomb Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Honeycomb,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/honeycombUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
15,Ivory Cozy Occasion,499,"100% polyester",Ivory,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/ivoryCozy-yarnbee.jpeg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
16,Ivory Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Ivory,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/ivoryUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
17,Light Grey Cozy Occasion,499,"100% polyester",Light Grey,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/lightGreyCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
18,Light Grey Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Light Grey,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/lightGreyUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
19,Medium Grey Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Medium Grey,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/mediumGreyUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
20,Mustard Cozy Occasion,499,"100% polyester",Mustard,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/mustardCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
21,Ocean Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",Ocean,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/oceanUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
22,Super Soft Merino,2200,"100% merino wool",Peachy Pink,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/peachyPinkMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
23,Rainwheel Cozy Occasion,499,"100% polyester",Rainwheel,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/rainwheelCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
24,Super Soft Merino,2200,"100% merino wool",Rose Granite,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/roseGraniteMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
25,Super Soft Merino,2200,"100% merino wool",Sea Salt,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/seaSaltMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
26,Soft Pink Cozy Occasion,499,"100% polyester",Soft Pinky,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/softPinkCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
27,Spa Day Cozy Occasion,499,"100% polyester",Spa Day,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/spaDayCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
28,Super Soft Merino,2200,"100% merino wool",Super Pink,"6 - Super Bulky",87 yards,"Hand wash cold, lay flat to dry",/images/superPinkMerino-purlSoho.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.", "Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
29,Teal Cozy Occasion,499,"100% polyester",Teal,"6 - Super Bulky",101 yards,"Hand wash cold, tumble dry, normal, low heat",/images/tealCozy-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
30,White Yarn Bee Uber Luxe Yarn,699,"100% Acrylic",White,"6 - Super Bulky",42 yards,"Hand wash only, do not tumble dry",/images/whiteUberLuxe-yarnbee.jpg,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Dolorem, nesciunt.","Lorem ipsum dolor, sit amet consectetur adipisicing elit. Quis harum voluptatibus in neque laudantium id aut eius dolorum, molestias sunt autem similique numquam reprehenderit, vitae alias laboriosam exercitationem quasi cumque!"
